participant_id,phase,grid_id,is_attention_check,FLD,GEO,FIR,response_time_sec
LY,practice,R099C070,,1,1,1,50.7
LY,practice,R117C010,,1,1,1,22.1
LY,practice,R161C064,,1,2,3,31.7
LY,practice,R162C064,,1,1,2,43.7
LY,practice,R102C103,,1,1,1,24.8
LY,practice,R152C029,,5,1,4,29.8
LY,main,R099C072,,1,4,3,28.0
LY,main,R131C042,,1,1,4,31.7
LY,main,R107C061,,1,1,1,10.1
LY,main,R172C023,,1,1,1,9.0
LY,main,R146C016,,1,2,3,53.4
LY,main,R116C057,,1,1,1,11.6
LY,main,R101C048,,1,1,1,7.4
LY,main,R075C085,,1,1,1,7.2
LY,main,R137C052,,1,1,5,15.6
LY,main,R092C045,,5,1,1,30.2
LY,main,R117C010,1,1,1,1,10.8
LY,main,R110C026,,1,1,1,6.6
LY,main,R114C022,,1,1,1,9.9
LY,main,R092C065,,1,1,4,16.4
LY,main,R084C076,,1,1,1,10.7
LY,main,R083C080,,1,1,1,9.4
LY,main,R149C052,,1,1,6,21.7
