grid_id,district,ori_level,urban_type,func_zone,stability_level,sample_type,pt_reason,GVI,SVF,BEI,SWI,complexity,ORI_FLD_pct,FLD_cue,GEO_cue,FIR_cue,naturalness
R117C035,沙坪坝区,ORI低,乡村/自然,无/极少建筑,稳定,main,FLD_hi,0.0028929725,0.0096475279166666,0.5671458241666667,3.05175e-05,0.3646082928148296,0.4558823529,0.6136628941458333,3.0612145448625e-05,0.7801332849879145,0.01178916375
R161C064,巴南区,ORI低,一般建成区,居住主导,稳定,main,FLD_lo,0.2559700066666666,0.2545572933333334,0.0506998733333333,0.056383135,0.61959886740145,0.1375812049,0.306259155,0.043640565872897,0.1685088026126618,0.4548784966666666
R162C064,巴南区,ORI低,一般建成区,居住主导,稳定,main,GEO_hi,0.3355306,0.3933334366666667,0.0293477366666666,0.0472555175,0.6086531220136328,0.3506718875,0.310762725,0.0547923753801572,0.0884477804299092,0.6194903066666666
R122C057,江北区,ORI高,密集城区,居住主导,稳定,main,GEO_lo,0.08406957,0.1574236566666666,0.24661509,0.0,0.5537787531411696,0.9902109104,0.5142141968333332,0.0,0.5966757030169411,0.2934265166666667
R139C067,南岸区,ORI低,密集城区,居住主导,稳定,main,FIR_lo,0.4888916066666666,0.27170563,0.0043166042857142,0.0636051742857142,0.6393684324646647,0.3117380084,0.2706747696666666,0.0797007128755896,0.0469388343333333,0.7605972366666668
R091C027,沙坪坝区,ORI中,密集城区,居住主导,稳定,main,BEI_max,0.0097284325,0.02437846,0.6403185499999999,0.0017242425,0.4214834099085766,0.8329180386,0.5487959848749999,0.0017365564451503,0.7972601179320965,0.0326665266666666
R116C040,沙坪坝区,ORI中,密集城区,居住主导,稳定,main,GVI_max,0.5822703033333333,0.02418232,0.0322977699999999,0.0247650166666666,0.5126352674315799,0.8854231556,0.4018658318333333,0.0313139410875477,0.3880724027977162,0.5992291766666668
R116C057,渝北区,ORI高,密集城区,混合/非居住,稳定,main,TypeA_自然+高风险,0.30384318,0.27581787,0.0118376408333333,0.0238952633333333,0.592397040189877,0.9260923734,0.3554529512291666,0.0280107974753949,0.0893862404999999,0.5453561116666666
R110C026,沙坪坝区,ORI高,密集城区,混合/非居住,稳定,main,TypeA_自然+高风险,0.0951296479166666,0.3857121475,0.0463085183333333,0.00236129625,0.5359889545886265,0.9614220877,0.3478985138333333,0.0024401188912583,0.1725914824955157,0.4971281699999999
R099C072,渝北区,ORI低,一般建成区,居住主导,稳定,main,TypeB_建成+低风险,0.2053728075,0.31004715,0.1277529366666666,0.0241673766666666,0.6793407843774751,0.7586544451,0.3658554056666667,0.0252921698041122,0.3890193283074201,0.4365590399999999
R117C010,沙坪坝区,ORI中,密集城区,混合/非居住,稳定,main,TypeB_建成+低风险,0.3579626058333333,0.0992838533333333,0.1398727074999999,0.0289487833333333,0.6481370986178273,0.8316276586,0.4440250395833334,0.0500495059886545,0.4834741774271104,0.4252541833333333
R137C067,南岸区,ORI低,一般建成区,混合/非居住,稳定,main,TypeC_峡谷+低ORI,0.03798421,0.0004434575,0.5929260266666666,0.0,0.4258193114055226,0.05446293495,0.5196750658333333,0.0,0.7617204635086819,0.0383199033333333
R092C045,北碚区,ORI中,密集城区,居住主导,稳定,main,TypeC_峡谷+低ORI,0.1263656633333333,0.1892731987499999,0.3077748616666667,0.054430645,0.5554975581202857,0.8498264661,0.4448025385833334,0.0593790500306092,0.4538235099161395,0.33367300125
R098C086,渝北区,ORI低,一般建成区,居住主导,稳定,main,TypeD_高绿+低ORI,0.362193105,0.3650461866666666,0.018411635,0.028796195,0.6288556729748874,0.1131084809,0.2817270735,0.0354526271290124,0.0756079037203034,0.72210439
R146C016,九龙坡区,ORI低,密集城区,混合/非居住,稳定,main,TypeD_高绿+低ORI,0.4953867566666666,0.0275052366666666,0.00401306,0.014170645,0.5567244077751767,0.7822817478,0.3577112841666667,0.0180241563686852,0.1198614614535136,0.5797843899999999
R115C033,沙坪坝区,ORI低,密集城区,居住主导,稳定,main,fill_ORI低,0.5697660425,0.1090291333333333,0.0024986266666666,0.08275604,0.5611396784404715,0.7494438017,0.367017888625,0.1053978907798185,0.0706584926666666,0.6353301966666666
R083C080,渝北区,ORI低,一般建成区,混合/非居住,稳定,main,fill_ORI低,0.23130735,0.3088575999999999,0.02639103,0.0154088333333333,0.6361160639236302,0.7233692267,0.3471891403333333,0.0172082598292567,0.1159260582501646,0.5133310950000001
